label,alpha,min_gap,exact,f1,changed,changed_orig_incorrect_new_correct,changed_orig_correct_new_incorrect,changed_orig_incorrect_new_incorrect,changed_orig_correct_new_correct,time_sec
top2,0.2,0.15,83.15988647114474,90.46565615788556,1032,204,322,279,227,0.36682868003845215
top2,0.2,0.2,82.65846736045411,90.27984811245682,1205,226,397,299,283,0.3536348342895508
top2,0.2,0.25,82.09082308420057,90.1009484539141,1365,238,469,319,339,0.35782504081726074
top2,0.2,0.3,81.68401135288552,89.95959411364286,1524,260,534,336,394,0.35926294326782227
top2,0.2,0.35,81.17313150425733,89.70218518034105,1658,272,600,352,434,0.42563366889953613
top2,0.3,0.15,83.15988647114474,90.46565615788556,1032,204,322,279,227,0.35076308250427246
top2,0.3,0.2,82.65846736045411,90.27984811245682,1205,226,397,299,283,0.35625576972961426
top2,0.3,0.25,82.09082308420057,90.1009484539141,1365,238,469,319,339,0.36070990562438965
top2,0.3,0.3,81.68401135288552,89.95959411364286,1524,260,534,336,394,0.3727421760559082
top2,0.3,0.35,81.17313150425733,89.70218518034105,1658,272,600,352,434,0.3594508171081543
top2,0.4,0.15,83.15988647114474,90.46565615788556,1032,204,322,279,227,0.35462284088134766
top2,0.4,0.2,82.65846736045411,90.27984811245682,1205,226,397,299,283,0.3573770523071289
top2,0.4,0.25,82.09082308420057,90.1009484539141,1365,238,469,319,339,0.3611178398132324
top2,0.4,0.3,81.68401135288552,89.95959411364286,1524,260,534,336,394,0.3597440719604492
top2,0.4,0.35,81.17313150425733,89.70218518034105,1658,272,600,352,434,0.36165308952331543
top2,0.5,0.15,84.36140018921476,91.0042424484311,46,13,4,29,0,0.3499629497528076
top2,0.5,0.2,84.36140018921476,91.0042424484311,46,13,4,29,0,0.3499891757965088
top2,0.5,0.25,84.36140018921476,91.0042424484311,46,13,4,29,0,0.34842491149902344
top2,0.5,0.3,84.36140018921476,91.0042424484311,46,13,4,29,0,0.34902501106262207
top2,0.5,0.35,84.36140018921476,91.0042424484311,46,13,4,29,0,0.3474271297454834
top2,0.6,0.15,84.27625354777673,90.92640705981044,0,0,0,0,0,0.34819507598876953
top2,0.6,0.2,84.27625354777673,90.92640705981044,0,0,0,0,0,0.35416603088378906
top2,0.6,0.25,84.27625354777673,90.92640705981044,0,0,0,0,0,0.35694384574890137
top2,0.6,0.3,84.27625354777673,90.92640705981044,0,0,0,0,0,0.35755181312561035
top2,0.6,0.35,84.27625354777673,90.92640705981044,0,0,0,0,0,0.35513806343078613
top2,0.7,0.15,84.27625354777673,90.92640705981044,0,0,0,0,0,0.3471720218658447
top2,0.7,0.2,84.27625354777673,90.92640705981044,0,0,0,0,0,0.4085249900817871
top2,0.7,0.25,84.27625354777673,90.92640705981044,0,0,0,0,0,0.34699201583862305
top2,0.7,0.3,84.27625354777673,90.92640705981044,0,0,0,0,0,0.3548431396484375
top2,0.7,0.35,84.27625354777673,90.92640705981044,0,0,0,0,0,0.35153913497924805
top2,0.8,0.15,84.27625354777673,90.92640705981044,0,0,0,0,0,0.34902215003967285
top2,0.8,0.2,84.27625354777673,90.92640705981044,0,0,0,0,0,0.3538978099822998
top2,0.8,0.25,84.27625354777673,90.92640705981044,0,0,0,0,0,0.35652923583984375
top2,0.8,0.3,84.27625354777673,90.92640705981044,0,0,0,0,0,0.3529319763183594
top2,0.8,0.35,84.27625354777673,90.92640705981044,0,0,0,0,0,0.35143017768859863
top3,0.2,0.15,81.20151371807,89.54354099065615,1304,196,521,353,234,0.4186258316040039
top3,0.2,0.2,80.29328287606434,89.14509032836189,1536,215,636,394,291,0.35207700729370117
top3,0.2,0.25,79.39451277199622,88.81037548865476,1747,230,746,422,349,0.35686397552490234
